dataset,quality,beta,bpp,PSNR,FID,LPIPS,DISTS
DIV2K,0.0,3.84,0.11372583764810812,28.117599313590734,13.764349870076387,0.08698698604479432,0.07792620837688446
DIV2K,0.25,3.84,0.13150985676774155,28.672127909739558,12.559359108221997,0.0781677428074181,0.07258055806159973
DIV2K,0.5,3.84,0.1516748270847401,29.193342168668124,11.208996848067216,0.07011942889541388,0.06707897543907165
DIV2K,0.75,3.84,0.17512208402034404,29.700627960751,9.865339872072468,0.06244568212889135,0.0608342969417572
DIV2K,1.0,3.84,0.2017331086594956,30.15430176593861,8.639276433988698,0.05537471641786396,0.05371703743934631
DIV2K,1.25,3.84,0.2366294389182195,30.827686943027192,7.643221921537588,0.048492839438840744,0.04851062834262848
DIV2K,1.5,3.84,0.27688261095080535,31.468692792644056,6.534881681341176,0.04233212360180914,0.04290208041667938
DIV2K,1.75,3.84,0.32399318172043146,32.06285021853313,5.529934543128377,0.036706646485254166,0.0367120760679245
DIV2K,2.0,3.84,0.3792736237992508,32.60314744532982,4.582329842482636,0.03191305494867265,0.031027567386627198
DIV2K,2.25,3.84,0.4392749561404727,33.31891767897251,4.051150273299413,0.027747213374823332,0.027521830201148987
DIV2K,2.5,3.84,0.5093703785472693,33.950286694935286,3.517950325350114,0.02409125735517591,0.02424375355243683
DIV2K,2.75,3.84,0.5915955215132483,34.61955039440225,2.988299475355916,0.020331126279197632,0.020987659692764282
DIV2K,3.0,3.84,0.6823811141595479,35.17622942953465,2.5409272290874014,0.017240703627467154,0.017757129669189454
DIV2K,3.25,3.84,0.7489043909512938,35.65493190473668,2.2857781588791113,0.015618138602003456,0.01575797617435455
DIV2K,3.5,3.84,0.8212586406015318,36.089871004722106,2.0677871129374807,0.014273550640791655,0.013999178409576415
DIV2K,3.75,3.84,0.89911043083407,36.484069171020884,1.9508995845022241,0.013216017098166048,0.012635414600372314
DIV2K,4.0,3.84,0.9829740091488085,36.73459885727213,1.909820525221221,0.012245417614467442,0.011814282536506652
DIV2K,0.0,0.0,0.11372583764810812,28.76253150450754,60.53651862741083,0.2371507657133043,0.16820007383823396
DIV2K,0.25,0.0,0.13150985676774155,29.281844923655203,56.3342217651695,0.21920666806399822,0.15908072113990784
DIV2K,0.5,0.0,0.1516748270847401,29.792853647029066,51.825888150552885,0.20102287327870727,0.14945055603981017
DIV2K,0.75,0.0,0.17512208402034404,30.32319644589805,46.90473898410835,0.18285783676430584,0.13895271956920624
DIV2K,1.0,0.0,0.2017331086594956,30.852066027632635,42.28082717992385,0.16480244940146804,0.1281713491678238
DIV2K,1.25,0.0,0.2366294389182195,31.470570632288744,37.42515147728841,0.14952997848391533,0.11809890568256379
DIV2K,1.5,0.0,0.27688261095080535,32.11115985419313,32.91144973107254,0.1347439338080585,0.10790801048278809
DIV2K,1.75,0.0,0.32399318172043146,32.75473928203011,28.87588891712278,0.1204434575047344,0.09736445546150208
DIV2K,2.0,0.0,0.3792736237992508,33.412477761369374,25.015521990080742,0.10662605562247336,0.08712803184986115
DIV2K,2.25,0.0,0.4392749561404727,34.01380129702518,21.66175050166862,0.09446210792288184,0.07839212656021118
DIV2K,2.5,0.0,0.5093703785472693,34.617082809811876,18.494748076129895,0.08312986661680043,0.07000162899494171
DIV2K,2.75,0.0,0.5915955215132483,35.34189937840692,15.828064224511479,0.07102597463410348,0.0625257271528244
DIV2K,3.0,0.0,0.6823811141595479,35.995917672349144,13.046134769261243,0.057695180093869564,0.0535751086473465
DIV2K,3.25,0.0,0.7489043909512938,36.442254070828184,11.669544968091031,0.05171178848482669,0.04879584014415741
DIV2K,3.5,0.0,0.8212586406015318,36.86492588494493,10.396766396450005,0.046167921712622045,0.04372947871685028
DIV2K,3.75,0.0,0.89911043083407,37.28246076368505,9.160880261790055,0.04108230610145256,0.03897480547428131
DIV2K,4.0,0.0,0.9829740091488085,37.67462426233707,8.005297344195867,0.036345632390584796,0.034369815587997433
