dataset,quality,beta,bpp,PSNR,FID,LPIPS,DISTS
CLIC,0.0,3.84,0.0795233819794576,30.24818897442157,5.223199943980262,0.07902955212499772,0.0702263077842855
CLIC,1.0,3.84,0.13920102641914836,32.10008517305803,3.341671064493255,0.05268187574807241,0.05139091527350595
CLIC,2.0,3.84,0.26638426361310974,34.390796292856095,1.8547257138592386,0.03172324425170946,0.032982887230186816
CLIC,3.0,3.84,0.4928145067966041,36.63943664272596,1.0948573625121298,0.01897239217765316,0.018396538969512297
CLIC,4.0,3.84,0.7298265247169474,38.06220366871442,0.9554658627838535,0.014013789113280233,0.01472762951226992
CLIC,0.0,0.0,0.07951215953949346,30.977838039649257,43.129251260057686,0.24595083556547065,0.17478187382221222
CLIC,1.0,0.0,0.13920102641914836,32.94944023935376,32.65749092358925,0.19283949084597352,0.14271454471294012
CLIC,2.0,0.0,0.26638426361310974,35.32973891842786,21.33721417947686,0.13905361810890593,0.10786691544768966
CLIC,3.0,0.0,0.4928145067966041,37.68290873551247,11.098381416953998,0.08045464273211415,0.07177430001374717
CLIC,4.0,0.0,0.7298265247169474,39.262191231033235,6.9131046553246165,0.044938001701190514,0.04952959354235747
